track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
Chasing Fire,0.0449,0.709,0.562,0.217,-4.864,0.0724,125.965,0.386
Supercut - El-P Remix,0.043,0.785,0.478,0.12,-8.974,0.0422,120.978,0.205
ATM,0.115,0.719,0.497,0.0898,-7.661,0.681,81.651,0.345
Miracle,0.0151,0.577,0.781,0.179,-3.154,0.0315,124.012,0.424
Be Like You (feat. Broods),0.118,0.677,0.492,0.0844,-4.764,0.0597,83.962,0.166
Tell Me You Love Me,0.117,0.762,0.797,0.202,-2.71,0.135,122.066,0.525
One Kiss (with Dua Lipa),0.037,0.791,0.862,0.0814,-3.24,0.11,123.994,0.592
Feel It Still,0.0417,0.801,0.795,0.0717,-5.115,0.0504,79.028,0.754
Flow,0.161,0.529,0.623,0.117,-8.053,0.0484,118.012,0.242
Problems,0.571,0.802,0.371,0.108,-9.087,0.131,113.951,0.263
Playinwitme (feat. Kehlani),0.302,0.687,0.587,0.278,-5.772,0.124,156.575,0.676
Instant Crush,0.332,0.852,0.362,0.196,-6.888,0.0425,99.995,0.428
Beautiful,0.214,0.666,0.677,0.0979,-5.743,0.0326,100.014,0.178
Cold Water,0.0736,0.608,0.798,0.156,-5.092,0.0432,92.943,0.501
Lonely (feat. MAX),0.148,0.588,0.834,0.237,-4.558,0.0559,167.961,0.659
Atomic Man,0.0507,0.63,0.736,0.109,-7.302,0.0384,137.948,0.919
Sit Next to Me - Stereotypes Remix,0.173,0.68,0.738,0.37,-4.881,0.0331,105.015,0.675
The Chain,0.0162,0.682,0.492,0.107,-13.151,0.0569,151.016,0.398
Feel Good Inc.,0.212,0.779,0.634,0.11,-7.975,0.0607,124.047,0.576
Go Fuck Yourself,0.571,0.765,0.327,0.0787,-8.029,0.277,74.931,0.292
Coming Over - filous Remix,0.487,0.791,0.493,0.0996,-11.077,0.0459,109.999,0.309
Way to be Loved,0.605,0.583,0.515,0.0931,-9.283,0.0571,115.732,0.603
It's Strange (feat. K.Flay),0.371,0.837,0.492,0.102,-7.792,0.354,85.951,0.417
Good Nights (feat. Mascolo),0.443,0.849,0.483,0.0786,-7.114,0.291,101.015,0.282
Liquor Locker,0.0528,0.584,0.433,0.0545,-7.126,0.191,79.3,0.452
Jazz,0.25,0.636,0.61,0.113,-9.665,0.119,125.227,0.296
Purple Yellow Red and Blue,0.0351,0.601,0.859,0.144,-6.311,0.0397,101.003,0.431
Girls @ (feat. Chance the Rapper),0.00776,0.937,0.539,0.089,-7.316,0.26,110.021,0.621
Big Fish,0.484,0.898,0.547,0.37,-5.707,0.313,100.01,0.763
TEMPTATION,0.397,0.775,0.707,0.874,-5.339,0.152,104.979,0.78
Killem With Kindness,0.0309,0.705,0.611,0.0903,-6.772,0.236,87.996,0.596
The Law (feat. Mac Miller & Rapsody),0.249,0.744,0.637,0.0965,-7.297,0.301,139.882,0.697
Black Panda,0.279,0.345,0.924,0.279,-4.345,0.278,95.26,0.869
Come Down,0.271,0.841,0.898,0.304,-7.135,0.104,98.401,0.931
Janet,0.354,0.81,0.308,0.0899,-8.194,0.0818,120.012,0.56
I Do (feat. SZA),0.27,0.886,0.473,0.0864,-7.338,0.255,135.065,0.438
Different Skies,0.227,0.482,0.467,0.114,-9.847,0.0453,100.853,0.564
Electric Feel (triple j Like A Version),0.857,0.495,0.459,0.108,-8.585,0.0451,127.64,0.242
Say Say Say - Remastered 2015,0.115,0.822,0.686,0.0463,-10.456,0.0472,117.743,0.828
Crave You,0.105,0.924,0.485,0.076,-8.985,0.082,120.034,0.325
Get Lucky (triple j Like A Version),0.156,0.548,0.637,0.106,-9.42,0.0366,119.326,0.635
Passed You By,0.151,0.366,0.801,0.244,-1.938,0.0281,83.443,0.469
Hell & Back,0.685,0.382,0.498,0.114,-8.514,0.0377,181.881,0.069
anemone,0.884,0.854,0.631,0.202,-8.197,0.0452,119.986,0.609
U Mad,0.0122,0.722,0.587,0.325,-6.495,0.0471,134.047,0.482
Someone That Loves You,0.0416,0.531,0.728,0.135,-4.985,0.063,104.978,0.418
Love On The Brain,0.0717,0.509,0.637,0.0789,-4.83,0.0471,172.006,0.378
1950,0.648,0.6,0.535,0.162,-7.043,0.107,71.912,0.269
Follow Your Fire,0.00854,0.453,0.61,0.175,-6.583,0.0674,176.079,0.44
NUMB,0.189,0.614,0.559,0.0911,-7.081,0.0427,147.937,0.388
Live in the Moment,0.002,0.546,0.583,0.115,-7.317,0.0348,128.017,0.235
Hurt Somebody (With Julia Michaels),0.361,0.83,0.557,0.249,-5.146,0.118,114.966,0.492
Dance You Off,0.104,0.73,0.692,0.106,-5.432,0.0695,109.08,0.76
Norf Norf,0.394,0.925,0.548,0.11,-6.572,0.0658,100.015,0.0922
X,0.0364,0.595,0.773,0.334,-4.736,0.0549,180.073,0.711
Let It All Out,0.395,0.57,0.604,0.912,-9.48,0.0306,106.975,0.531
Machu Picchu,0.0133,0.695,0.814,0.0601,-5.294,0.066,105.011,0.882
Bulletproof,0.000441,0.674,0.882,0.068,-2.771,0.0477,123.016,0.682
My Life,0.227,0.744,0.562,0.103,-7.89,0.0378,109.981,0.161
Cruzin',0.215,0.622,0.851,0.111,-4.665,0.357,96.024,0.541
Nuh Ready Nuh Ready,0.063,0.754,0.779,0.0758,-3.288,0.0387,116.003,0.41
Confidence,0.0637,0.59,0.562,0.105,-9.607,0.0505,140.835,0.561
Freakin' Out,0.0425,0.883,0.586,0.286,-6.227,0.0489,100.012,0.9
Wasted,0.00169,0.693,0.76,0.121,-5.433,0.0353,114.996,0.751
Miss You (with Major Lazer & Tory Lanez),0.231,0.753,0.646,0.0961,-4.564,0.0973,100.0,0.438
The Perfect Life Does Not Exist,0.00704,0.438,0.651,0.376,-7.487,0.0294,94.128,0.441
Late Night,0.0384,0.622,0.65,0.209,-6.407,0.0636,125.157,0.385
Go Bang,0.0714,0.598,0.893,0.146,-3.072,0.0319,120.972,0.485
Don't Let Me Down,0.157,0.532,0.869,0.136,-5.094,0.172,159.803,0.422
Elephant,0.562,0.598,0.553,0.257,-6.742,0.0397,123.075,0.533
IV. Sweatpants,0.169,0.644,0.479,0.639,-8.352,0.177,79.929,0.612
You Only Live Once,0.0238,0.63,0.908,0.116,-2.42,0.0326,120.522,0.968
Your Time (feat. KAYTRANADA),0.0436,0.474,0.637,0.143,-7.271,0.0913,82.78,0.251
KOD,0.21,0.831,0.782,0.113,-6.274,0.15,141.869,0.199
Gold,0.381,0.616,0.505,0.161,-9.307,0.058,139.956,0.228
Black Mambo,0.294,0.675,0.409,0.119,-10.707,0.0423,79.954,0.308
Land Of Pleasure,0.000257,0.472,0.725,0.106,-6.784,0.0403,76.523,0.171
Left Hand Free,0.462,0.697,0.877,0.083,-4.465,0.0462,101.99,0.802
Let's Dance to Joy Division,0.00125,0.397,0.839,0.576,-6.674,0.102,116.947,0.764
I Blame Myself,0.35,0.692,0.739,0.32,-4.122,0.0374,115.014,0.819
3005,0.149,0.473,0.461,0.0973,-6.474,0.333,165.985,0.615
Doses & Mimosas,0.114,0.775,0.655,0.035,-7.333,0.102,114.503,0.346
Stop Me (Stop You),0.0517,0.457,0.652,0.0845,-7.544,0.0552,120.006,0.233
#GETITRIGHT,0.0581,0.844,0.614,0.0769,-6.19,0.0708,116.034,0.714
Bonfire,0.0627,0.508,0.763,0.347,-5.674,0.303,161.59,0.275
